Year,Value,UNIT_MEASURE,SERIES
2020,106.81,Procenat,Depoziti prema kreditima umanjenim za međubankarske kredite (%)
2021,121.63,Procenat,Depoziti prema kreditima umanjenim za međubankarske kredite (%)
2022,121.75,Procenat,Depoziti prema kreditima umanjenim za međubankarske kredite (%)
2023,121.24,Procenat,Depoziti prema kreditima umanjenim za međubankarske kredite (%)
2018,76.4,Procenat,Kratkoročne finansijske obaveze prema ukupnim obavezama (%)
2019,75.08,Procenat,Kratkoročne finansijske obaveze prema ukupnim obavezama (%)
2020,77.44,Procenat,Kratkoročne finansijske obaveze prema ukupnim obavezama (%)
2021,79.97,Procenat,Kratkoročne finansijske obaveze prema ukupnim obavezama (%)
2022,80.91,Procenat,Kratkoročne finansijske obaveze prema ukupnim obavezama (%)
2023,76.67,Procenat,Kratkoročne finansijske obaveze prema ukupnim obavezama (%)
2018,69.01,Procenat,Krediti u stranoj valuti i krediti sa valutnom klauzulom prema ukupnim kreditima (%)
2019,63.94,Procenat,Krediti u stranoj valuti i krediti sa valutnom klauzulom prema ukupnim kreditima (%)
2020,62.38,Procenat,Krediti u stranoj valuti i krediti sa valutnom klauzulom prema ukupnim kreditima (%)
2021,58.74,Procenat,Krediti u stranoj valuti i krediti sa valutnom klauzulom prema ukupnim kreditima (%)
2022,54.55,Procenat,Krediti u stranoj valuti i krediti sa valutnom klauzulom prema ukupnim kreditima (%)
2023,53.72,Procenat,Krediti u stranoj valuti i krediti sa valutnom klauzulom prema ukupnim kreditima (%)
2018,61.61,Procenat,Obaveze u stranoj valuti prema ukupnim obavezama (%)
2019,58.95,Procenat,Obaveze u stranoj valuti prema ukupnim obavezama (%)
2020,59.1,Procenat,Obaveze u stranoj valuti prema ukupnim obavezama (%)
2021,54.46,Procenat,Obaveze u stranoj valuti prema ukupnim obavezama (%)
2022,53.72,Procenat,Obaveze u stranoj valuti prema ukupnim obavezama (%)
2023,52.9,Procenat,Obaveze u stranoj valuti prema ukupnim obavezama (%)
2018,3.06,Procenat,Neto otvorena pozicija (%)
2019,9.36,Procenat,Neto otvorena pozicija (%)
2020,6.38,Procenat,Neto otvorena pozicija (%)
2021,2.38,Procenat,Neto otvorena pozicija (%)
2022,-3.11,Procenat,Neto otvorena pozicija (%)
2023,-1.54,Procenat,Neto otvorena pozicija (%)
