Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Value
2017,Obim putnika (putnički kilometri),P_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,418
2018,Obim putnika (putnički kilometri),P_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,370
2019,Obim putnika (putnički kilometri),P_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,342
2020,Obim putnika (putnički kilometri),P_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,176
2021,Obim putnika (putnički kilometri),P_KM_MIL,Cestovni,,,,,,,,,,,,,,,,,,,236
2009,Obim tereta (tonski kilometri),OOOt,Bez podjele,,,,,,,,,,,,,,,,,,,5498
2010,Obim tereta (tonski kilometri),OOOt,Bez podjele,,,,,,,,,,,,,,,,,,,6534
2011,Obim tereta (tonski kilometri),OOOt,Bez podjele,,,,,,,,,,,,,,,,,,,6932
2012,Obim tereta (tonski kilometri),OOOt,Bez podjele,,,,,,,,,,,,,,,,,,,7435
2013,Obim tereta (tonski kilometri),OOOt,Bez podjele,,,,,,,,,,,,,,,,,,,7635
2014,Obim tereta (tonski kilometri),OOOt,Bez podjele,,,,,,,,,,,,,,,,,,,7674
2015,Obim tereta (tonski kilometri),OOOt,Bez podjele,,,,,,,,,,,,,,,,,,,8711
2016,Obim tereta (tonski kilometri),OOOt,Bez podjele,,,,,,,,,,,,,,,,,,,7938
2017,Obim tereta (tonski kilometri),OOOt,Bez podjele,,,,,,,,,,,,,,,,,,,8549
2018,Obim tereta (tonski kilometri),OOOt,Bez podjele,,,,,,,,,,,,,,,,,,,8753
2019,Obim tereta (tonski kilometri),OOOt,Bez podjele,,,,,,,,,,,,,,,,,,,7507
2020,Obim tereta (tonski kilometri),OOOt,Bez podjele,,,,,,,,,,,,,,,,,,,6780
2021,Obim tereta (tonski kilometri),OOOt,Bez podjele,,,,,,,,,,,,,,,,,,,7805
2009,Obim tereta (tonski kilometri),OOOt,Željeznički,,,,,,,,,,,,,,,,,,,4101
2010,Obim tereta (tonski kilometri),OOOt,Željeznički,,,,,,,,,,,,,,,,,,,5087
2011,Obim tereta (tonski kilometri),OOOt,Željeznički,,,,,,,,,,,,,,,,,,,5191
2012,Obim tereta (tonski kilometri),OOOt,Željeznički,,,,,,,,,,,,,,,,,,,5372
2013,Obim tereta (tonski kilometri),OOOt,Željeznički,,,,,,,,,,,,,,,,,,,5191
2014,Obim tereta (tonski kilometri),OOOt,Željeznički,,,,,,,,,,,,,,,,,,,5009
2015,Obim tereta (tonski kilometri),OOOt,Željeznički,,,,,,,,,,,,,,,,,,,4964
2016,Obim tereta (tonski kilometri),OOOt,Željeznički,,,,,,,,,,,,,,,,,,,4416
2017,Obim tereta (tonski kilometri),OOOt,Željeznički,,,,,,,,,,,,,,,,,,,4529
2018,Obim tereta (tonski kilometri),OOOt,Željeznički,,,,,,,,,,,,,,,,,,,4569
2019,Obim tereta (tonski kilometri),OOOt,Željeznički,,,,,,,,,,,,,,,,,,,4567
2020,Obim tereta (tonski kilometri),OOOt,Željeznički,,,,,,,,,,,,,,,,,,,3798
2021,Obim tereta (tonski kilometri),OOOt,Željeznički,,,,,,,,,,,,,,,,,,,4385
2009,Obim tereta (tonski kilometri),OOOt,Cestovni,,,,,,,,,,,,,,,,,,,1397
2010,Obim tereta (tonski kilometri),OOOt,Cestovni,,,,,,,,,,,,,,,,,,,1447
2011,Obim tereta (tonski kilometri),OOOt,Cestovni,,,,,,,,,,,,,,,,,,,1741
2012,Obim tereta (tonski kilometri),OOOt,Cestovni,,,,,,,,,,,,,,,,,,,2063
