Year,SERIES,UNIT_MEASURE,SEX,AGE,COMPOSITE_BREAKDOWN,Value,,,,
2011,VC_HTF_DETVR,PER_100000_POP,,,,0.1,,,,
2012,VC_HTF_DETVR,PER_100000_POP,,,,0.2,,,,
2013,VC_HTF_DETVR,PER_100000_POP,,,,0.0,,,,
2014,VC_HTF_DETVR,PER_100000_POP,,,,0.0,,,,
2015,VC_HTF_DETVR,PER_100000_POP,,,,0.1,,,,
2016,VC_HTF_DETVR,PER_100000_POP,,,,0.1,,,,
2017,VC_HTF_DETVR,PER_100000_POP,,,,0.1,,,,
2018,VC_HTF_DETVR,PER_100000_POP,,,,0.0,,,,
2019,VC_HTF_DETVR,PER_100000_POP,,,,0.1,,,,
2020,VC_HTF_DETVR,PER_100000_POP,,,,0.1,,,,
2021,VC_HTF_DETVR,PER_100000_POP,,,,0.0,,,,
,,,,,,,,,,
