Year,SERIES,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Value
2013,IS_RDP_PFVOL,P_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,457
2014,IS_RDP_PFVOL,P_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,432
2015,IS_RDP_PFVOL,P_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,405
2016,IS_RDP_PFVOL,P_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,385
2017,IS_RDP_PFVOL,P_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,418
2018,IS_RDP_PFVOL,P_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,370
2019,IS_RDP_PFVOL,P_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,342
2020,IS_RDP_PFVOL,P_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,176
2021,IS_RDP_PFVOL,P_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,236
2009,IS_RDP_FRGVOL,TONNES_T,_T,,,,,,,,,,,,,,,,,,,5498
2010,IS_RDP_FRGVOL,TONNES_T,_T,,,,,,,,,,,,,,,,,,,6534
2011,IS_RDP_FRGVOL,TONNES_T,_T,,,,,,,,,,,,,,,,,,,6932
2012,IS_RDP_FRGVOL,TONNES_T,_T,,,,,,,,,,,,,,,,,,,7435
2013,IS_RDP_FRGVOL,TONNES_T,_T,,,,,,,,,,,,,,,,,,,7635
2014,IS_RDP_FRGVOL,TONNES_T,_T,,,,,,,,,,,,,,,,,,,7674
2015,IS_RDP_FRGVOL,TONNES_T,_T,,,,,,,,,,,,,,,,,,,8711
2016,IS_RDP_FRGVOL,TONNES_T,_T,,,,,,,,,,,,,,,,,,,7938
2017,IS_RDP_FRGVOL,TONNES_T,_T,,,,,,,,,,,,,,,,,,,8549
2018,IS_RDP_FRGVOL,TONNES_T,_T,,,,,,,,,,,,,,,,,,,8753
2019,IS_RDP_FRGVOL,TONNES_T,_T,,,,,,,,,,,,,,,,,,,7507
2020,IS_RDP_FRGVOL,TONNES_T,_T,,,,,,,,,,,,,,,,,,,6780
2021,IS_RDP_FRGVOL,TONNES_T,_T,,,,,,,,,,,,,,,,,,,7805
2009,IS_RDP_FRGVOL,TONNES_T,MOT_RAI,,,,,,,,,,,,,,,,,,,4101
2010,IS_RDP_FRGVOL,TONNES_T,MOT_RAI,,,,,,,,,,,,,,,,,,,5087
2011,IS_RDP_FRGVOL,TONNES_T,MOT_RAI,,,,,,,,,,,,,,,,,,,5191
2012,IS_RDP_FRGVOL,TONNES_T,MOT_RAI,,,,,,,,,,,,,,,,,,,5372
2013,IS_RDP_FRGVOL,TONNES_T,MOT_RAI,,,,,,,,,,,,,,,,,,,5191
2014,IS_RDP_FRGVOL,TONNES_T,MOT_RAI,,,,,,,,,,,,,,,,,,,5009
2015,IS_RDP_FRGVOL,TONNES_T,MOT_RAI,,,,,,,,,,,,,,,,,,,4964
2016,IS_RDP_FRGVOL,TONNES_T,MOT_RAI,,,,,,,,,,,,,,,,,,,4416
2017,IS_RDP_FRGVOL,TONNES_T,MOT_RAI,,,,,,,,,,,,,,,,,,,4529
2018,IS_RDP_FRGVOL,TONNES_T,MOT_RAI,,,,,,,,,,,,,,,,,,,4569
2019,IS_RDP_FRGVOL,TONNES_T,MOT_RAI,,,,,,,,,,,,,,,,,,,4567
2020,IS_RDP_FRGVOL,TONNES_T,MOT_RAI,,,,,,,,,,,,,,,,,,,3798
2021,IS_RDP_FRGVOL,TONNES_T,MOT_RAI,,,,,,,,,,,,,,,,,,,4385
2009,IS_RDP_FRGVOL,TONNES_T,MOT_ROA,,,,,,,,,,,,,,,,,,,1397
2010,IS_RDP_FRGVOL,TONNES_T,MOT_ROA,,,,,,,,,,,,,,,,,,,1447
2011,IS_RDP_FRGVOL,TONNES_T,MOT_ROA,,,,,,,,,,,,,,,,,,,1741
2012,IS_RDP_FRGVOL,TONNES_T,MOT_ROA,,,,,,,,,,,,,,,,,,,2063
2013,IS_RDP_FRGVOL,TONNES_T,MOT_ROA,,,,,,,,,,,,,,,,,,,2444
2014,IS_RDP_FRGVOL,TONNES_T,MOT_ROA,,,,,,,,,,,,,,,,,,,2665
2015,IS_RDP_FRGVOL,TONNES_T,MOT_ROA,,,,,,,,,,,,,,,,,,,3747
2016,IS_RDP_FRGVOL,TONNES_T,MOT_ROA,,,,,,,,,,,,,,,,,,,3522
2017,IS_RDP_FRGVOL,TONNES_T,MOT_ROA,,,,,,,,,,,,,,,,,,,4020
2018,IS_RDP_FRGVOL,TONNES_T,MOT_ROA,,,,,,,,,,,,,,,,,,,4184
2019,IS_RDP_FRGVOL,TONNES_T,MOT_ROA,,,,,,,,,,,,,,,,,,,2940
2020,IS_RDP_FRGVOL,TONNES_T,MOT_ROA,,,,,,,,,,,,,,,,,,,2982
2021,IS_RDP_FRGVOL,TONNES_T,MOT_ROA,,,,,,,,,,,,,,,,,,,3420
2009,IS_RDP_FRGVOL,T_KM_MIL,_T,,,,,,,,,,,,,,,,,,,947
2010,IS_RDP_FRGVOL,T_KM_MIL,_T,,,,,,,,,,,,,,,,,,,1076
2011,IS_RDP_FRGVOL,T_KM_MIL,_T,,,,,,,,,,,,,,,,,,,1431
2012,IS_RDP_FRGVOL,T_KM_MIL,_T,,,,,,,,,,,,,,,,,,,1399
2013,IS_RDP_FRGVOL,T_KM_MIL,_T,,,,,,,,,,,,,,,,,,,1556
2014,IS_RDP_FRGVOL,T_KM_MIL,_T,,,,,,,,,,,,,,,,,,,1651
2015,IS_RDP_FRGVOL,T_KM_MIL,_T,,,,,,,,,,,,,,,,,,,1768
2016,IS_RDP_FRGVOL,T_KM_MIL,_T,,,,,,,,,,,,,,,,,,,1723
2017,IS_RDP_FRGVOL,T_KM_MIL,_T,,,,,,,,,,,,,,,,,,,1931
2018,IS_RDP_FRGVOL,T_KM_MIL,_T,,,,,,,,,,,,,,,,,,,1877
2019,IS_RDP_FRGVOL,T_KM_MIL,_T,,,,,,,,,,,,,,,,,,,1881
2020,IS_RDP_FRGVOL,T_KM_MIL,_T,,,,,,,,,,,,,,,,,,,1709
2021,IS_RDP_FRGVOL,T_KM_MIL,_T,,,,,,,,,,,,,,,,,,,1846
2009,IS_RDP_FRGVOL,T_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,327
2010,IS_RDP_FRGVOL,T_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,387
2011,IS_RDP_FRGVOL,T_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,425
2012,IS_RDP_FRGVOL,T_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,457
2013,IS_RDP_FRGVOL,T_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,455
2014,IS_RDP_FRGVOL,T_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,428
2015,IS_RDP_FRGVOL,T_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,450
2016,IS_RDP_FRGVOL,T_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,374
2017,IS_RDP_FRGVOL,T_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,386
2018,IS_RDP_FRGVOL,T_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,372
2019,IS_RDP_FRGVOL,T_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,403
2020,IS_RDP_FRGVOL,T_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,363
2021,IS_RDP_FRGVOL,T_KM_MIL,MOT_RAI,,,,,,,,,,,,,,,,,,,380
2009,IS_RDP_FRGVOL,T_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,620
2010,IS_RDP_FRGVOL,T_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,689
2011,IS_RDP_FRGVOL,T_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,1006
2012,IS_RDP_FRGVOL,T_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,942
2013,IS_RDP_FRGVOL,T_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,1101
2014,IS_RDP_FRGVOL,T_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,1223
2015,IS_RDP_FRGVOL,T_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,1318
2016,IS_RDP_FRGVOL,T_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,1341
2017,IS_RDP_FRGVOL,T_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,1545
2018,IS_RDP_FRGVOL,T_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,1505
2019,IS_RDP_FRGVOL,T_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,1477
2020,IS_RDP_FRGVOL,T_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,1346
2021,IS_RDP_FRGVOL,T_KM_MIL,MOT_ROA,,,,,,,,,,,,,,,,,,,1466
